1:1	z3bd				Comment Paul a-t-il été fait apôtre du Christ Jésus ?	Paul a été fait apôtre par le commandement de Dieu.

1:2	sl85				Quelle était la relation entre Paul et Timothée ?	Timothée était le véritable fils de Paul dans la foi.

1:3	q1ob				Où Paul a-t-il exhorté Timothée à rester ?	Il a exhorté Timothée à rester à Ephèse.

1:3	slty				Que devait ordonner Timothée à certaines personnes de ne pas faire ?	Il devait leur ordonner de ne pas enseigner différemment.

1:5	crq2				Quel était, selon Paul, le but de son commandement et de son enseignement ?	Le but de son commandement était l'amour d'un cœur pur, d'une bonne conscience et d'une foi sincère.

1:9	tqor				Pour qui la loi est-elle faite ?	La loi est destinée aux personnes sans foi ni loi, aux rebelles, aux impies, aux pécheurs.

1:13	cfvj				Quels sont les péchés que Paul a commis auparavant ?	Paul était un blasphémateur, un persécuteur et un homme violent.

1:14	q6g0				Qu'est-ce qui a débordé sur Paul, faisant de lui un apôtre de Jésus-Christ ?	La grâce de notre Seigneur a débordé de foi et d'amour pour Paul.

1:15	iw1l				Qui le Christ Jésus est-il venu dans le monde pour sauver ?	Le Christ Jésus est venu dans le monde pour sauver les pécheurs.

1:16	o828				Pourquoi Paul dit-il que Dieu lui a fait miséricorde ?	Dieu a accordé la miséricorde à Paul afin que Jésus puisse démontrer sa patience en lui donnant l'exemple.

1:18	milu				Qu'est-ce que Paul a dit à Timothée de faire conformément aux prophéties faites à son sujet ?	Paul dit à Timothée de combattre le bon combat.

1:19	m2of				Qu'est-il arrivé à certains qui ont rejeté leur foi et leur bonne conscience ?	Ces gens ont fait naufrage en ce qui concerne la foi.

1:20	yc47				Qu'a fait Paul pour ces hommes qui avaient rejeté la foi et la bonne conscience et avaient fait naufrage de leur foi ?	Paul les a livrés à Satan pour qu'ils apprennent à ne pas blasphémer.

2:1	wr9k				Pour qui Paul demande-t-il que des prières soient faites ?	Paul demande que des prières soient faites pour toutes les personnes.

2:2	acep				Quel genre de vie Paul souhaite-t-il que les chrétiens soient autorisés à vivre ?	Paul souhaite que les chrétiens puissent mener une vie paisible et tranquille en toute piété et dignité.

2:4	kuft				Que désire Dieu pour tous les hommes ?	Dieu désire que tous les hommes soient sauvés et parviennent à la connaissance de la vérité.

2:5	bpzk				Quelle est la position du Christ Jésus entre Dieu et l'homme ?	Le Christ Jésus est l'unique médiateur entre Dieu et les hommes.

2:6	eq8p				Qu'a fait le Christ Jésus pour tous ?	Le Christ Jésus s'est donné en rançon pour tous.

2:7	zati				Qui l'apôtre Paul enseigne-t-il ?	Paul est un enseignant pour les païens.

2:8	otgq				Que veut Paul que les hommes fassent ?	Paul veut que les hommes prient et lèvent des mains saintes.

2:9	o7jf				Que veut Paul que les femmes fassent ?	Paul veut que les femmes s'habillent modestement et avec maîtrise de soi.

2:12	uv0v				Qu'est-ce que Paul ne permet pas à une femme de faire ?	Paul ne permet pas à une femme d'enseigner ou d'exercer une autorité sur un homme.

2:13	rygx				Quelle est la première raison que Paul donne pour ne pas permettre à une femme d'enseigner ou d'exercer une autorité sur un homme ?	La première raison invoquée par Paul est qu'Adam a été formé en premier.

2:14	v47f				Quelle est la deuxième raison que Paul donne pour ne pas permettre à une femme d'enseigner ou d'exercer une autorité sur un homme ?	La deuxième raison de Paul est qu'Adam n'a pas été trompé, mais que la femme a été trompée.

2:15	wsul				Dans quoi Paul veut-il que les femmes restent ?	Paul veut que les femmes continuent dans la foi, l'amour et la sanctification avec la maîtrise de soi.

3:1	kkd2				Quel genre de travail est le travail d'un surveillant ?	Le travail d'un surveillant est un bon travail.

3:2	qr30				Qu'est-ce qu'un surveillant doit être capable de faire ?	Un surveillant doit être capable d'enseigner.

3:3	b69p				Comment un surveillant doit-il gérer l'alcool et l'argent ?	Un surveillant ne doit pas être un ivrogne, et ne doit pas aimer l'argent.

3:4	eyah				Comment les enfants d'un surveillant doivent-ils le traiter ?	Les enfants d'un surveillant doivent lui obéir et l'honorer.

3:5	qcts				Pourquoi est-il important qu'un surveillant gère bien son ménage ?	C'est important car s'il ne peut pas bien gérer son ménage, il ne s'occupera probablement pas bien d'une église.

3:6	vh1h				Quel est le danger si le surveillant est un nouveau converti ?	Le danger est qu'il s'enfle d'orgueil et tombe dans la condamnation.

3:7	fbs1				Quelle doit être la réputation d'un surveillant auprès des personnes extérieures à l'église ?	Un surveillant doit avoir une bonne réputation auprès des personnes extérieures à l'église.

3:10	fe41				Que faut-il faire avec les diacres avant qu'ils ne servent ?	Avant de servir, les diacres doivent être testés.

3:11	tt7f				Quelles sont les caractéristiques des femmes pieuses ?	Les femmes pieuses sont dignes, non médisantes, sobres et dignes de confiance en toute chose.

3:15	h9jj				Qu'est-ce que la maison de Dieu ?	La maison de Dieu est l'église du Dieu vivant.

3:16	l73n				Après que Jésus soit apparu dans la chair, qu'il ait été justifié par l'Esprit et qu'il ait été vu par les anges, que s'est-il passé ?	Jésus a été proclamé parmi les nations, cru dans le monde, et enlevé dans la gloire.

4:1	xv1v				Selon l'Esprit, que feront certaines personnes dans les derniers temps ?	Certaines personnes quitteront la foi et fréquenteront des esprits trompeurs et les enseignements des démons.

4:3	ovfa				Quels mensonges ces gens vont-ils enseigner ?	Ils interdiront le mariage et la consommation de certains aliments.

4:5	lih5				Comment tout ce que nous mangeons est-il sanctifié pour notre usage ?	Tout ce que nous mangeons est sanctifié par la parole de Dieu et la prière.

4:7	cgd8				En quoi Paul demande-t-il à Timothée de se former ?	Paul dit à Timothée de se former à la piété.

4:8	pra7				Pourquoi l'entraînement à la piété est-il plus profitable que l'entraînement corporel ?	La formation à la piété est plus profitable car elle est porteuse de promesses pour la vie présente et celle à venir.

4:11	esnx				Qu'est-ce que Paul exhorte Timothée à faire de toutes les bonnes choses qu'il a reçues dans l'enseignement que lui a donné Paul ?	Paul exhorte Timothée à commander et à enseigner ces choses.

4:12	y0of				De quelle manière Timothée doit-il être un exemple pour les autres ?	Timothée doit être un exemple en parole, en conduite, en amour, en foi et en pureté.

